INSTANCE: MO2

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 7188.21782 9374.0471123 710511.1400165056 0.0034432411193847656
1 3385.48456 8785.277405200002 1335306.7731237388 0.008526086807250977
2 2114.6436799999997 7221.664921800002 4261463.594534302 0.013080120086669922
3 1729.0086999999999 5709.088732999999 5991297.792157301 0.0173952579498291
4 1729.0086999999999 4697.7383985 5731971.134833183 0.02163100242614746
5 1636.43539 3833.0479803 4856975.52310369 0.025753021240234375
6 1636.43539 3229.2315550999997 3824542.5706863487 0.029790878295898438
7 1569.9427000000003 2819.3560491 2888113.050379181 0.033770084381103516
8 1569.9427000000003 2536.5185715999996 2308898.8898313357 0.03766226768493652
9 1517.6702300000002 2414.6437126 2141001.734543961 0.041779279708862305
10 1517.6702300000002 2294.4026859 1810828.4373885598 0.045710086822509766
11 1517.6702300000002 2106.2553265999995 1239640.9558521602 0.04981398582458496
12 1517.6702300000002 1875.6598016 655676.2923786863 0.05418109893798828
13 1517.6702300000002 1817.8127127999999 506859.2810315529 0.05808711051940918
14 1491.93549 1750.9419864000001 440073.76724860223 0.0623931884765625
15 1491.93549 1660.1734753 211583.83789579594 0.0666811466217041
16 1480.15559 1584.3082876 38031.02055868177 0.07101106643676758
17 1480.15559 1562.2960368 32109.93087514826 0.07506108283996582
18 1468.3324899999998 1529.7602224 14145.660487539611 0.07913422584533691
19 1468.3324899999998 1524.0144249000002 14433.8707352991 0.08305191993713379
20 1468.3324899999998 1516.0487472000002 13003.551266261127 0.08690810203552246
21 1458.64524 1500.5757290000004 3837.377295871288 0.09072995185852051
22 1458.64524 1493.6374971 3005.455305816409 0.09459209442138672
23 1454.67278 1488.1520691000003 2917.3303555855377 0.09843206405639648
24 1454.67278 1483.3482608000004 2318.938014465293 0.1022331714630127
25 1454.67278 1484.2056035 2550.2956844648174 0.10602903366088867
26 1454.67278 1481.1592204 2586.12864054675 0.10986804962158203
27 1454.67278 1483.1616943000001 2565.225915455138 0.11366510391235352
28 1454.67278 1471.4750916000003 1349.7615438328503 0.11778497695922852
29 1454.67278 1480.2014282 2314.3440423627885 0.12171697616577148
30 1454.67278 1476.0280248000001 1982.3396048855202 0.12552714347839355
31 1454.67278 1473.7428845000002 1957.1619615569998 0.1293959617614746
32 1454.67278 1475.2956002000003 2047.2127581746483 0.1332530975341797
33 1454.67278 1470.0542064000003 1566.376649011486 0.13706493377685547
34 1454.67278 1479.6190645000001 2433.265402450756 0.1408231258392334
35 1454.67278 1474.838942 2076.712060396246 0.1446990966796875
36 1454.67278 1466.4055357000002 1398.8072540017442 0.148468017578125
37 1454.67278 1466.4112300000002 1068.6296594753287 0.15224003791809082
38 1454.67278 1472.4159287000002 1639.2541441752912 0.15622901916503906
39 1454.67278 1471.2520298000004 1601.1100759253525 0.16007709503173828
40 1454.67278 1475.4330111000004 2170.588628951389 0.16388201713562012
41 1454.67278 1475.4566929999999 2537.96068852614 0.16765522956848145
42 1454.67278 1473.3116594 2676.1649760966366 0.17148804664611816
43 1454.67278 1466.7190645 1367.0698451331255 0.1753230094909668
44 1454.67278 1474.3449807999998 2150.528720222612 0.1791081428527832
45 1451.0533 1472.8030290000002 1728.9009040803046 0.18291401863098145
46 1451.0533 1483.3344986999998 2016.2774214013646 0.1866919994354248
47 1451.0533 1487.7366051000001 2774.6953062622856 0.1906569004058838
48 1451.0533 1487.6151092999999 2974.9107286226435 0.19474005699157715
49 1451.0533 1484.8958963999999 3075.860172139071 0.19871211051940918
50 1451.0533 1483.5910073999996 2768.3874907611053 0.20260310173034668
51 1451.0533 1483.9727820999997 3107.815616308475 0.2064361572265625
