INSTANCE: MP3

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 9223372036854775807 35836.34731725001 5998134.461224191 1.6227631568908691
1 8901.8606 33765.212955400006 12797843.635211434 4.20437216758728
2 3622.552560000001 27805.543372350003 85262668.98308724 6.384285926818848
3 2926.9620999999975 23639.533941350008 127261963.6807877 8.389441013336182
4 2679.9311899999984 19177.78421145 147506268.15579543 10.294281005859375
5 2679.9311899999984 17546.332869500002 136802376.1423713 12.16605806350708
6 2679.9311899999984 17711.143482600004 129376741.34572801 14.036874055862427
7 2679.9311899999984 16989.1297282 133921996.66559994 15.912644863128662
8 2679.9311899999984 16427.214962650003 126819324.6209953 17.781672954559326
9 2623.7088799999983 15755.0059865 122430804.65073912 19.621056079864502
10 2623.7088799999983 16525.18483655 136551490.72492436 21.480966091156006
11 2623.7088799999983 16281.2905432 131517172.89123127 23.334961891174316
12 2623.7088799999983 16157.661390050002 131527005.5507366 25.194493055343628
13 2623.7088799999983 16429.577007850003 134557298.70986107 27.049159049987793
14 2623.7088799999983 15205.212181750001 131709497.44044186 28.880905151367188
15 2623.7088799999983 16171.221457300002 126919011.75284718 30.734808921813965
16 2623.7088799999983 16355.627886350001 121398065.62230644 32.58847999572754
17 2623.7088799999983 16420.6842781 131719816.1395372 34.44804525375366
18 2623.7088799999983 15381.97140735 133104330.12663616 36.28224015235901
19 2623.7088799999983 16461.935624899997 143432255.66376567 38.13958406448364
20 2623.7088799999983 17031.250327750004 145641036.56094903 40.01564025878906
21 2623.7088799999983 17807.311092350003 145151476.22718862 41.916069984436035
22 2623.7088799999983 16262.739039300004 135764016.6208578 43.777487993240356
23 2623.7088799999983 16208.901879150002 129533519.00104094 45.63203406333923
24 2623.7088799999983 16815.868608800003 140511134.72183824 47.5735969543457
25 2623.7088799999983 16342.07959785 129987599.81433643 49.457916021347046
26 2623.7088799999983 16935.867196050003 140978735.05841762 51.33795690536499
27 2623.7088799999983 17115.3102144 136626463.6963178 53.23528599739075
28 2623.7088799999983 16330.870515 135243601.9377903 55.16195583343506
29 2623.7088799999983 16868.12482385 130896976.90563606 57.02842712402344
30 2623.7088799999983 17917.0340977 139357845.09212646 58.92089509963989
31 2623.7088799999983 17134.82907565 130621465.8992055 60.80831003189087
32 2623.7088799999983 16427.459943899998 129316913.13019222 62.67163395881653
33 2623.7088799999983 16374.462071549999 125016227.62088825 64.54435515403748
34 2623.7088799999983 16787.8347412 123396490.2881332 66.42241907119751
35 2623.7088799999983 16884.02511445 148179250.5127728 68.29756808280945
36 2623.7088799999983 16698.08183245 155928392.8835653 70.1688961982727
37 2623.7088799999983 16983.96661445 149766418.5861823 72.04685497283936
38 2623.7088799999983 17489.092792900003 140570068.313028 73.92757296562195
39 2623.7088799999983 16886.558453850004 147988337.1565289 75.80336499214172
40 2623.7088799999983 16509.5265828 156032313.57445955 77.67106413841248
41 2623.7088799999983 16895.250456550002 138759170.47043177 79.6307020187378
42 2623.7088799999983 16439.5973379 129804672.72564548 81.48461127281189
43 2623.7088799999983 15717.954764350001 131436401.83657742 83.32866311073303
44 2623.7088799999983 15949.283150199999 119955763.36218959 85.16850900650024
45 2623.7088799999983 15732.616565600001 125636114.38914505 87.01267790794373
46 2623.7088799999983 15968.95259625 130079919.87669483 88.84526014328003
47 2623.7088799999983 15922.3013437 122002024.87346527 90.68554902076721
48 2623.7088799999983 15763.674757949999 122290452.58788738 92.5152690410614
49 2623.7088799999983 15829.29995015 121426742.39952055 94.34947204589844
50 2623.7088799999983 16430.259408550002 126563932.3193019 96.2099380493164
51 2623.7088799999983 15213.267249449998 116348040.8804505 98.03306698799133
52 2623.7088799999983 15172.33754645 124869661.60325411 99.86091494560242
53 2623.7088799999983 15869.949773650002 125722585.23460168 101.68862700462341
54 2623.7088799999983 16412.30633115 134148364.94288796 103.53894710540771
55 2623.7088799999983 16504.7263577 133608866.79233176 105.38855195045471
56 2623.7088799999983 17264.160886700003 138013657.59827626 107.24911594390869
57 2623.7088799999983 16929.0467161 141584707.30571643 109.10139083862305
58 2623.7088799999983 16596.047530249998 139519958.26183984 110.94350910186768
59 2623.7088799999983 16617.0509587 132940159.56640576 112.78736114501953
60 2623.7088799999983 16353.3346401 126666691.58238949 114.61992502212524
61 2623.7088799999983 16551.57039605 137157472.46975937 116.49735999107361
62 2623.7088799999983 15341.75373925 119140396.06561935 118.31492400169373
63 2623.7088799999983 16197.4786577 126767101.58718233 120.15525889396667
64 2623.7088799999983 15443.070580300004 123363421.806333 121.97457218170166
65 2623.7088799999983 14975.66672905 123816320.84090242 123.7692379951477
66 2623.7088799999983 15315.260971250003 125918029.55581513 125.57203507423401
67 2623.7088799999983 16783.4427148 144361728.2354742 127.4133689403534
68 2623.7088799999983 16521.63478495 135680242.04192698 129.25551915168762
69 2623.7088799999983 15902.093919949999 139133157.87223697 131.0824489593506
70 2623.7088799999983 15442.2170804 127743434.89622465 132.88904881477356
71 2623.7088799999983 15828.951184600002 125976146.15740061 134.7034990787506
72 2623.7088799999983 15682.224250250003 128603061.13733251 136.5132040977478
73 2623.7088799999983 16063.655912650003 127533183.01018618 138.33302903175354
74 2623.7088799999983 15565.166797599999 128780656.25131851 140.13542199134827
75 2623.7088799999983 15328.19480825 122463672.9030614 141.93911409378052
76 2623.7088799999983 15612.274671150004 125957388.20186937 143.74389100074768
77 2623.7088799999983 16475.09007665 134179206.61447677 145.5793821811676
78 2623.7088799999983 16713.859501400002 136399152.99185404 147.4312779903412
79 2623.7088799999983 16056.66772425 144048432.99585712 149.25981497764587
80 2623.7088799999983 15277.969425349998 130440527.50965938 151.061861038208
81 2623.7088799999983 14683.010441299999 126480669.73625804 152.85292387008667
82 2623.7088799999983 16672.50696595 141310561.81742 154.6860339641571
83 2623.7088799999983 16710.402372000004 143180134.73313922 156.53119015693665
84 2623.7088799999983 16443.218723700003 143027415.33147028 158.35723400115967
85 2623.7088799999983 16821.5615542 130152808.52198033 160.1934061050415
86 2623.7088799999983 17174.901285050004 130578856.72182289 162.03671622276306
87 2623.7088799999983 17014.67920445 134589275.4431607 163.87142896652222
88 2623.7088799999983 17003.192177 130599524.93946812 165.7083978652954
89 2623.7088799999983 17219.184968 132717616.57384543 167.55401301383972
90 2623.7088799999983 16793.58658075 133749115.08395503 169.388081073761
91 2623.7088799999983 16811.572623650005 138034793.10487384 171.22030401229858
92 2623.7088799999983 17784.222229000003 141793246.4236174 173.06576013565063
93 2623.7088799999983 17655.90682285 137768521.21790195 174.90899300575256
94 2623.7088799999983 17827.711033350002 136370910.99068034 176.76374506950378
95 2623.7088799999983 17237.695504799998 127495291.25303489 178.60041499137878
96 2623.7088799999983 16031.12323225 131085645.6659523 180.46545386314392
97 2623.7088799999983 15506.112674900003 140341671.941706 182.27063298225403
