INSTANCE: MQ2

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 58488.48738 71277.5866964 18530377.947646305 0.028170108795166016
1 25160.82683 68638.20513773333 31542634.156759273 0.07259392738342285
2 11526.064030000001 57346.31115463334 259656386.08722198 0.10605287551879883
3 8392.53686 46647.09948833333 409426839.80786896 0.1342790126800537
4 5682.95244 35145.645781533334 467290592.5803414 0.1577930450439453
5 4892.008540000001 27291.817361066664 427806215.440531 0.178847074508667
6 4534.47559 21513.736526866665 369941946.83459556 0.1978740692138672
7 4534.47559 18752.95569773333 324161863.8045278 0.21639108657836914
8 4196.2095500000005 15439.763431933332 271135958.76206243 0.23367714881896973
9 4196.2095500000005 12388.813168300001 209257024.08421034 0.2498772144317627
10 4082.8545999999997 10096.029989433333 147923023.9715581 0.26578521728515625
11 4082.8545999999997 8291.976311166667 98265970.92724587 0.2810640335083008
12 4082.8545999999997 7627.215100233333 90551229.96596378 0.2958512306213379
13 4082.8545999999997 6846.665541433334 64797007.570479 0.3104391098022461
14 4082.8545999999997 5804.971053233333 37156241.192695946 0.3249952793121338
15 4046.64684 5359.9421183333325 23999103.1730826 0.3390481472015381
16 4046.64684 5083.364964433333 17394436.364912022 0.3531022071838379
17 4028.3257299999996 4864.6210005 13528812.171010308 0.36690592765808105
18 4028.3257299999996 4733.5815868 10645542.636443995 0.38080310821533203
19 4028.3257299999996 4584.2907523 8247369.947272157 0.3950228691101074
20 4028.3257299999996 4553.397311299999 7859119.649555521 0.40911316871643066
21 4028.3257299999996 4490.8330465 7388610.526396543 0.4227890968322754
22 4028.3257299999996 4363.898746999999 5128569.886109447 0.43693017959594727
23 4028.3257299999996 4241.411269666666 2939685.838434585 0.4507930278778076
24 4028.3257299999996 4157.391493099999 559556.1366416084 0.46477293968200684
25 4028.3257299999996 4104.651945433333 209148.47258139114 0.47893404960632324
26 4028.3257299999996 4101.701159033333 208897.65628164733 0.4927330017089844
27 4028.3257299999996 4076.8366544333326 62974.71493528409 0.5063540935516357
28 4028.3257299999996 4057.322677333333 23689.293843032086 0.5202851295471191
29 4028.3257299999996 4058.3588304666664 24515.850945680413 0.5340940952301025
30 4028.3257299999996 4060.5159255999993 25215.100503981757 0.548206090927124
31 4028.3257299999996 4060.2742796333328 25305.350120355288 0.5625650882720947
32 4028.3257299999996 4050.414405533333 9187.294772424391 0.5764880180358887
33 4028.3257299999996 4050.384957666666 9352.747179240941 0.590407133102417
34 4028.3257299999996 4050.0627286666663 9700.22429641043 0.6042740345001221
35 4028.3257299999996 4046.325071266666 8633.837242338568 0.6179070472717285
36 4028.3257299999996 4049.6597477333326 9168.980722521768 0.6311812400817871
37 4028.3257299999996 4047.080551466667 8409.388231225024 0.645017147064209
38 4028.3257299999996 4045.1813768333336 7654.615672958467 0.6585791110992432
39 4028.3257299999996 4044.2868001666666 3324.112200152725 0.6724731922149658
40 4028.3257299999996 4045.4342475999993 3826.598323379163 0.686582088470459
41 4028.3257299999996 4041.9975283666663 3909.061769560624 0.7002971172332764
42 4028.3257299999996 4042.2682515666665 3389.6158459627927 0.7136919498443604
43 4028.3257299999996 4040.8961445 2655.9745339238893 0.7273430824279785
44 4028.3257299999996 4042.1352012666666 3031.801575954844 0.7408678531646729
45 4028.3257299999996 4040.9459333666664 3046.6702245978854 0.754709005355835
46 4028.3257299999996 4041.633672166666 3491.4638752139413 0.7686350345611572
47 4028.3257299999996 4044.1523141666657 4318.80631074155 0.7823870182037354
48 4028.3257299999996 4041.072981799999 2883.6553565393133 0.7960541248321533
49 4028.3257299999996 4036.7287082 1460.9819082929812 0.8101410865783691
50 4028.3257299999996 4040.719462566666 3001.5103063480583 0.8240079879760742
51 4028.3257299999996 4039.5266232333333 3232.4848137920562 0.8384389877319336
52 4028.3257299999996 4042.526802266667 4953.402397412479 0.85270094871521
53 4028.3257299999996 4045.7731986 5548.041567435835 0.8666441440582275
54 4028.3257299999996 4045.139135033333 5399.5607108416825 0.880263090133667
55 4028.3257299999996 4039.721829466666 3330.52919005297 0.894258975982666
56 4028.3257299999996 4038.2205833666662 2311.806220170387 0.9079601764678955
57 4028.3257299999996 4037.0745444666663 2049.230960905333 0.9218571186065674
58 4028.3257299999996 4038.0076396333334 2769.0923187026747 0.9358160495758057
59 4028.3257299999996 4041.3741211333327 5274.17528455026 0.9496469497680664
60 4028.3257299999996 4039.7706353 4253.239985714241 0.9631659984588623
61 4028.3257299999996 4040.576923966666 4464.38615199004 0.9768772125244141
62 4028.3257299999996 4035.555541766666 2308.0552242253016 0.9907689094543457
63 4028.3257299999996 4037.2977092999995 2855.095094337118 1.004828929901123
64 4028.3257299999996 4035.6790408333327 2572.102491269573 1.0187010765075684
65 4028.3257299999996 4036.732290166667 3337.0989763270272 1.0324511528015137
66 4028.3257299999996 4042.0132948333335 5028.7690970607355 1.0462071895599365
67 4028.3257299999996 4039.2155515 2825.0322212129768 1.0602881908416748
68 4028.3257299999996 4045.7166417 4724.073019593794 1.0740392208099365
69 4028.3257299999996 4042.809293966666 4164.185939714162 1.0879571437835693
70 4028.3257299999996 4049.625702733334 6209.673226916112 1.1018571853637695
71 4028.3257299999996 4046.5627973 5584.604520277044 1.1157379150390625
72 4028.3257299999996 4043.3710271 4583.868823615768 1.1295969486236572
73 4028.3257299999996 4047.017715033333 5251.111952257604 1.1435751914978027
74 4028.3257299999996 4044.9932392000005 4489.6604967654675 1.1573700904846191
75 4028.3257299999996 4045.1179438000004 5311.702753774062 1.1711461544036865
76 4028.3257299999996 4046.0244653666664 6869.830638387524 1.1850330829620361
77 4028.3257299999996 4041.2329163000004 4746.182368400131 1.1988580226898193
78 4028.3257299999996 4043.463243366666 3933.0534218576568 1.213015079498291
79 4028.3257299999996 4046.1536559333326 4583.867618881663 1.227621078491211
80 4028.3257299999996 4040.644974766666 2851.0419781901055 1.2414381504058838
81 4028.3257299999996 4042.720223066667 3853.2949853457594 1.2550890445709229
82 4028.3257299999996 4041.7534763333333 3559.1053168838416 1.2690629959106445
83 4028.3257299999996 4046.2290334333334 4750.062999883023 1.2827370166778564
84 4028.3257299999996 4045.251448966667 5249.09696998917 1.2965421676635742
85 4028.3257299999996 4046.3162179666665 5063.086601479532 1.310563087463379
86 4028.3257299999996 4042.868924766667 4385.2928157855185 1.3243331909179688
87 4028.3257299999996 4043.253543633333 4465.536944701648 1.3378829956054688
88 4028.3257299999996 4042.5546675333335 3770.3775143340836 1.3514890670776367
89 4028.3257299999996 4043.318278833333 4004.755473911335 1.365185260772705
90 4028.3257299999996 4044.091319599999 3873.961876696334 1.3787190914154053
