INSTANCE: MP2

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 9223372036854775807 35437.336299450006 5197180.371283807 1.5907928943634033
1 11602.47425000001 33844.40055355001 8892214.743273932 4.198576211929321
2 4814.191430000003 27633.77389665 69384078.48318247 6.407027006149292
3 3416.542019999999 22757.9321033 112253274.28312176 8.41464114189148
4 3308.7217700000033 19346.059483600002 133577779.44188957 10.318610906600952
5 3238.2090300000004 18887.16713155 134101331.54615343 12.207068920135498
6 3169.8288399999988 18010.31884935 127007385.16233213 14.087558269500732
7 3169.8288399999988 17533.83589975 123246580.55744934 15.954565048217773
8 3133.61974 17851.7935736 130366739.55322573 17.828421115875244
9 3080.5540299999993 17942.43939605 134907789.96849233 19.706427097320557
10 3080.5540299999993 18068.382570499998 129376542.44206464 21.58812713623047
11 3080.5540299999993 18011.558105649998 128835787.5501779 23.464148998260498
12 3080.5540299999993 18202.929912599997 122765391.96214336 25.35036325454712
13 3080.5540299999993 18102.7558532 119413608.24075772 27.231796979904175
14 2989.9809999999984 16582.04880605 126570800.39072648 29.07714605331421
15 2989.9809999999984 18196.546590399998 121040325.16188335 30.955841064453125
16 2989.9809999999984 17242.080097849997 125821647.7777528 32.820462226867676
17 2989.9809999999984 16607.0856608 122054146.13710898 34.672282218933105
18 2986.957319999999 16439.12588135 123603597.90163857 36.527183055877686
19 2986.957319999999 16924.640037099998 123122127.99106793 38.39200210571289
20 2986.957319999999 16441.169395599998 133768446.90170075 40.240867137908936
21 2986.957319999999 17086.6242636 127025184.42939381 42.09156823158264
22 2936.9824999999987 16813.330683499997 122859307.69316702 43.94845223426819
23 2936.9824999999987 16474.0123416 120659125.54826982 45.81288123130798
24 2936.9824999999987 16244.463109299999 128684919.1925767 47.667086124420166
25 2936.9824999999987 16791.5065028 131026836.82328917 49.53054428100586
26 2936.9824999999987 17462.0049717 121293532.52269225 51.424169063568115
27 2936.9824999999987 17185.76447195 129174266.67594257 53.321810245513916
28 2936.9824999999987 17871.101882 129297581.42036015 55.2139151096344
29 2936.9824999999987 17182.38934035 126312880.04134673 57.08460998535156
30 2936.9824999999987 17524.16131535 135077026.068342 58.96542406082153
31 2912.738149999998 18009.194207649998 133283858.21710362 60.85356521606445
32 2911.2186599999973 18345.34642525 129878104.31861055 62.74115991592407
33 2911.2186599999973 18030.778337749998 121401054.0332974 64.64139008522034
34 2911.2186599999973 18371.2502926 132854674.12603024 66.54082822799683
35 2911.2186599999973 18210.85729245 123932854.72203186 68.43019914627075
36 2911.2186599999973 17189.770782499996 110967018.1723843 70.3092589378357
37 2911.2186599999973 15799.234374 102134698.8001799 72.15734815597534
38 2911.2186599999973 14291.342564799997 106414557.93976997 73.98760509490967
39 2911.2186599999973 16088.184099199998 121352097.97916384 75.87465119361877
40 2904.8590099999983 16274.140311000001 120005366.52178642 77.731614112854
41 2904.8590099999983 16734.727763650004 131744996.91156632 79.59895610809326
42 2904.8590099999983 15872.802267800002 130487221.95278612 81.44284319877625
43 2904.8590099999983 16357.313544600001 129994504.62488072 83.29713201522827
44 2904.8590099999983 16505.6274101 124681222.97445339 85.15436792373657
45 2904.8590099999983 15572.28460575 118718191.3904857 87.00520491600037
46 2904.8590099999983 15267.37069905 116305672.11909372 88.83867311477661
47 2904.8590099999983 15984.139979700001 122592563.78089625 90.68817400932312
48 2904.8590099999983 16242.036253 119981929.7402737 92.54677510261536
49 2904.8590099999983 17215.2945053 124271767.35263033 94.42247915267944
50 2904.8590099999983 17143.2224807 127216234.90472718 96.28897714614868
51 2904.8590099999983 16179.140687949997 115807411.8751664 98.1405680179596
52 2904.8590099999983 17015.833969499996 114565789.12606466 100.01686906814575
53 2904.8590099999983 16961.818954299997 118778790.133423 101.88501811027527
54 2904.8590099999983 17172.464994399998 123760373.77499947 103.76275205612183
55 2904.8590099999983 18022.901352499997 119676995.81381291 105.65468502044678
56 2904.8590099999983 18193.977089 122475698.53306809 107.55620503425598
57 2904.8590099999983 17119.55146715 126066747.55038725 109.42520117759705
58 2904.8590099999983 16973.66696625 121949738.91526848 111.29766130447388
59 2904.8590099999983 17625.419046450002 128731983.72336322 113.18065905570984
60 2904.8590099999983 17399.31945725 127871451.15853214 115.05707812309265
61 2904.8590099999983 17785.7836109 127988902.32821494 116.9476900100708
62 2904.8590099999983 17120.9797472 139223279.0409028 118.81737804412842
63 2904.8590099999983 17081.68153915 125470023.54120983 120.68769097328186
64 2904.8590099999983 17128.2897029 128152967.31212993 122.55678629875183
65 2904.8590099999983 16883.3223999 135342914.24881333 124.42103600502014
66 2904.8590099999983 15346.089734449997 118859016.87063587 126.24547410011292
67 2904.8590099999983 16590.461167699996 117254046.45869823 128.10815620422363
68 2904.8590099999983 17279.352515349998 140701305.79865074 129.98513197898865
69 2904.8590099999983 17292.55429805 140688881.1604968 131.86083602905273
70 2904.8590099999983 16417.7518067 130688217.06194966 133.71590399742126
71 2904.8590099999983 16996.6914909 144967337.50884005 135.5908341407776
72 2904.8590099999983 15839.282011749998 127204710.37643802 137.4367961883545
73 2904.8590099999983 17374.5797776 129980503.27339914 139.31444096565247
74 2904.8590099999983 17458.55773205 123609353.33757988 141.18434619903564
75 2904.8590099999983 17465.2042701 121985504.96861286 143.04740810394287
76 2904.8590099999983 17235.84502125 127394911.83075923 144.92649006843567
77 2904.8590099999983 15603.832457449997 117659966.31877969 146.755539894104
78 2904.8590099999983 16457.499468100003 121421920.68666548 148.61444926261902
79 2904.8590099999983 17290.1444596 109320166.92581888 150.4782531261444
80 2904.8590099999983 17934.135673650002 119581905.52843896 152.36375904083252
81 2904.8590099999983 16747.49302655 119247041.05857688 154.21850109100342
82 2904.8590099999983 15984.71701445 128722574.83206318 156.06339931488037
83 2904.8590099999983 18151.970685000004 129530540.6275922 157.9577353000641
84 2904.8590099999983 16470.754121200003 123774813.58519031 159.81598901748657
85 2904.8590099999983 17511.084035249998 117119639.49542588 161.73089909553528
86 2904.8590099999983 16760.332764749997 126691141.85147919 163.60940527915955
87 2904.8590099999983 16532.528856 112390674.3875182 165.47092819213867
88 2904.8590099999983 15761.2909637 114766089.14434193 167.30962824821472
89 2904.8590099999983 16113.20121795 129202119.32837474 169.14854407310486
90 2904.8590099999983 15322.036304250001 112918227.21891762 170.9901282787323
91 2904.8590099999983 15053.481304500001 115809166.20355955 172.81873321533203
92 2904.8590099999983 17316.88757475 127173206.1675458 174.6994822025299
93 2904.8590099999983 17608.379798 132497252.41890953 176.58699321746826
94 2904.8590099999983 17069.678989 123918514.99536915 178.46659302711487
95 2904.8590099999983 16460.56747385 132271686.47062375 180.32571816444397
96 2904.8590099999983 18620.8875078 130664817.80836421 182.23535013198853
97 2904.8590099999983 17615.181626899997 128741379.4070684 184.14078617095947
98 2904.8590099999983 16701.082776749994 120589043.61460854 186.0264880657196
99 2904.8590099999983 17104.478855899997 118864138.1135717 187.9170482158661
100 2904.8590099999983 17302.477365000002 130802880.62327835 189.79044103622437
101 2904.8590099999983 17147.46434885 128308183.51232344 191.66618609428406
102 2904.8590099999983 17102.845675200002 134981752.58917743 193.5420491695404
103 2904.8590099999983 16477.545524299996 124586605.51000355 195.39453220367432
104 2904.8590099999983 16618.67929955 121530126.73506184 197.26911211013794
105 2904.8590099999983 16773.7623477 129241551.42219882 199.131019115448
106 2904.8590099999983 16664.03463335 122633334.46198954 200.99470806121826
107 2904.8590099999983 15329.417913199999 118292576.92052564 202.82297229766846
108 2904.8590099999983 15390.5030862 115241440.74302585 204.6872980594635
109 2904.8590099999983 16468.96326855 121736395.68506052 206.5897741317749
110 2904.8590099999983 17065.960713 126344046.44576806 208.478844165802
111 2904.8590099999983 16859.56234375 114951382.52572662 210.36334609985352
112 2904.8590099999983 15652.6143777 114350560.81904495 212.23960399627686
113 2904.8590099999983 14869.2141194 100904971.83626142 214.05993604660034
114 2904.8590099999983 14491.540864149998 116986369.33355656 215.87848806381226
