INSTANCE: MO1

TOTAL GENERATION IS: 250

-------------------------------------------------------------------------------------------------------------------------

ROUND 1:
Generation, best, average, variance, time(s)
0 6620.180149999999 8503.0912875 575830.0976863387 0.003949165344238281
1 3307.5969999999998 8099.315868000001 787512.4270616801 0.009734869003295898
2 1923.34058 6971.0119781 3652803.2806784664 0.015105009078979492
3 1529.96437 5666.3097922 5674964.026696146 0.020170927047729492
4 1495.78132 4453.6429479 4955280.691911149 0.025110960006713867
5 1439.48688 3850.1179469999997 4396698.7956461795 0.029494047164916992
6 1436.73377 3317.2440164 3643178.091042401 0.034021854400634766
7 1406.22526 2752.9810951999993 2532716.9170431523 0.03846096992492676
8 1403.7290600000001 2383.7736563000003 2175102.569822492 0.04275989532470703
9 1403.7290600000001 2214.6557430000003 1623456.434959358 0.04720902442932129
10 1401.5314700000001 2075.5743167 1322532.4159369632 0.05167698860168457
11 1356.03454 1792.3631278999999 547360.2466641389 0.05580711364746094
12 1356.03454 1727.4904824999999 479940.21059947734 0.05999398231506348
13 1349.6997999999999 1669.0213984000004 425899.11999644793 0.06428384780883789
14 1349.6997999999999 1598.1006931000002 335537.524288392 0.06842708587646484
15 1349.6997999999999 1521.4240810000003 172227.56316360456 0.07260704040527344
16 1339.3493 1496.0394685000003 132389.60499470297 0.07664012908935547
17 1339.3493 1478.9737831000002 124069.83999567902 0.08089804649353027
18 1314.73895 1451.1460527 110370.76417041529 0.08493709564208984
19 1314.5171300000002 1434.8819105 108365.39769686047 0.08891081809997559
20 1314.5171300000002 1395.5155568999999 64829.37924407781 0.0928959846496582
21 1314.5171300000002 1368.3738153 14097.932735069122 0.0968780517578125
22 1314.5171300000002 1352.0477675 3879.2284816742153 0.10077810287475586
23 1314.5171300000002 1355.0031459 4719.730970320373 0.10473299026489258
24 1314.5171300000002 1349.7816383 4308.711584851848 0.10869789123535156
25 1314.5171300000002 1344.1986729 4166.261136380877 0.11262702941894531
26 1314.5171300000002 1340.6907813999999 2985.6485182819665 0.11659598350524902
27 1314.5171300000002 1337.6859442 2449.8777989192113 0.12066793441772461
28 1314.5171300000002 1338.4749274 2652.043781957554 0.1245119571685791
29 1314.5171300000002 1337.0346726999999 2535.415717474673 0.1284799575805664
30 1314.5171300000002 1342.3755358 3088.033570637288 0.13247323036193848
31 1314.5171300000002 1341.6206067 3033.7173801426484 0.13656902313232422
32 1314.5171300000002 1341.5170239 5020.704239417786 0.14054298400878906
33 1314.5171300000002 1334.1044566 3483.5046808966795 0.1445770263671875
34 1314.5171300000002 1334.5596419 3397.880975354415 0.14855098724365234
35 1314.5171300000002 1339.2565744 4511.058104619928 0.15268778800964355
36 1314.5171300000002 1340.1366308999998 4815.670687974579 0.15674495697021484
37 1314.5171300000002 1339.7203848 2840.6199307337224 0.16080498695373535
38 1314.5171300000002 1341.6639536999999 2962.981264853877 0.16487598419189453
39 1314.5171300000002 1341.1297716 2722.6114280529787 0.1689319610595703
40 1314.5171300000002 1337.0350924 2782.4723061113978 0.1729731559753418
41 1314.5171300000002 1335.9457533 2152.6431517358333 0.1769421100616455
42 1314.5171300000002 1335.190442 1894.355262036117 0.18093585968017578
43 1314.5171300000002 1335.6398809 2125.4943471839856 0.18486499786376953
44 1314.5171300000002 1333.7767823 1937.1118263256906 0.18874287605285645
45 1314.5171300000002 1335.7298532 2179.737408356963 0.19273710250854492
46 1314.5171300000002 1332.9479703000002 1793.463886069249 0.1967298984527588
47 1314.5171300000002 1331.1496269 1693.028505555507 0.20053887367248535
48 1314.5171300000002 1332.3566713000002 1984.9031001538244 0.20435619354248047
49 1314.5171300000002 1328.9425820000001 1677.4657889045477 0.20815587043762207
50 1314.5171300000002 1333.6750517000003 2202.4586766557736 0.21198105812072754
51 1314.5171300000002 1331.4812516999998 1728.5612385705722 0.21577191352844238
52 1314.5171300000002 1329.7677135999998 1696.7134361973183 0.2196638584136963
53 1314.5171300000002 1328.6247039 1331.2441589112652 0.22350287437438965
54 1314.5171300000002 1336.7886331000002 2314.4230724931504 0.22731399536132812
55 1314.5171300000002 1338.8637843 2345.8285947356526 0.2313079833984375
56 1314.5171300000002 1335.2658249 1971.2290161858816 0.23526597023010254
57 1314.5171300000002 1327.3505546000001 1546.257023132379 0.23911404609680176
58 1314.5171300000002 1328.8675042999998 1557.9522963670554 0.2429180145263672
59 1314.5171300000002 1326.7983112 1444.2656661863412 0.24671697616577148
60 1314.5171300000002 1329.2258983 1910.549560342275 0.25055384635925293
61 1314.5171300000002 1333.8073967 2464.7663591826986 0.25434088706970215
62 1314.5171300000002 1334.4399656000003 2619.69416442221 0.2581319808959961
63 1314.5171300000002 1335.5037584000002 2421.5494819435044 0.2619950771331787
64 1314.5171300000002 1334.9905759 2055.4829860104087 0.2658498287200928
65 1314.5171300000002 1334.728886 1989.8000644459942 0.26979994773864746
66 1314.5171300000002 1333.91949 2085.7348543235366 0.2735891342163086
67 1314.5171300000002 1328.5269608999997 1489.540483020874 0.2774059772491455
68 1314.5171300000002 1324.8966732000001 908.9723621347636 0.28112316131591797
69 1314.5171300000002 1320.9551717000002 765.5782824613796 0.2849700450897217
70 1314.5171300000002 1323.3427042 973.2935466530027 0.2888219356536865
71 1314.5171300000002 1327.0193768 1154.9196014058318 0.2926030158996582
72 1314.5171300000002 1327.5572013 1447.8656222863542 0.29644012451171875
73 1314.5171300000002 1329.5300161 1563.809153783641 0.30025506019592285
74 1314.5171300000002 1330.3973854999997 2118.8300839480503 0.3042287826538086
75 1314.5171300000002 1330.3541661 2315.954323409835 0.30823206901550293
76 1314.5171300000002 1331.4589423 2638.875122168923 0.3120460510253906
77 1314.5171300000002 1333.0347620999999 2409.8930902248785 0.3158431053161621
78 1314.5171300000002 1337.2365393 2550.177933485721 0.31961798667907715
79 1314.5171300000002 1338.5785422 3211.27613785297 0.3234579563140869
80 1314.5171300000002 1334.1219319 2389.149146023069 0.3272829055786133
81 1314.5171300000002 1335.753426 2759.83989501656 0.33107781410217285
82 1314.5171300000002 1327.2794789000004 1031.9554778085042 0.3348839282989502
83 1314.5171300000002 1330.2436403999998 1338.3533985245574 0.33863306045532227
84 1314.5171300000002 1338.0069184000001 1864.4301012173028 0.3426220417022705
85 1314.5171300000002 1335.6539648 1681.4677364066042 0.34673404693603516
86 1314.5171300000002 1332.3738124 1643.406577002088 0.35072898864746094
87 1314.5171300000002 1327.5363496 1416.3833388219707 0.35462498664855957
88 1314.5171300000002 1329.9875524999998 1402.9046529290747 0.3585190773010254
